,Date,Close
732,2016-01-04,741.84
733,2016-01-05,742.58
734,2016-01-06,743.62
735,2016-01-07,726.39
736,2016-01-08,714.47
737,2016-01-09,
738,2016-01-10,
739,2016-01-11,716.03
740,2016-01-12,726.07
741,2016-01-13,700.56
742,2016-01-14,714.72
743,2016-01-15,694.45
744,2016-01-16,
745,2016-01-17,
746,2016-01-18,
747,2016-01-19,701.79
748,2016-01-20,698.45
749,2016-01-21,706.59
750,2016-01-22,725.25
751,2016-01-23,
752,2016-01-24,
753,2016-01-25,711.67
754,2016-01-26,713.04
755,2016-01-27,699.99
756,2016-01-28,730.96
757,2016-01-29,742.95
758,2016-01-30,
759,2016-01-31,
760,2016-02-01,752.0
761,2016-02-02,764.65
762,2016-02-03,726.95
763,2016-02-04,708.01
764,2016-02-05,683.57
765,2016-02-06,
766,2016-02-07,
767,2016-02-08,682.74
768,2016-02-09,678.11
769,2016-02-10,684.12
770,2016-02-11,683.11
771,2016-02-12,682.4
772,2016-02-13,
773,2016-02-14,
774,2016-02-15,
775,2016-02-16,691.0
776,2016-02-17,708.4
777,2016-02-18,697.35
778,2016-02-19,700.91
779,2016-02-20,
780,2016-02-21,
781,2016-02-22,706.46
782,2016-02-23,695.85
783,2016-02-24,699.56
784,2016-02-25,705.75
785,2016-02-26,705.07
786,2016-02-27,
787,2016-02-28,
788,2016-02-29,697.77
789,2016-03-01,718.81
790,2016-03-02,718.85
791,2016-03-03,712.42
792,2016-03-04,710.89
793,2016-03-05,
794,2016-03-06,
795,2016-03-07,695.16
796,2016-03-08,693.97
797,2016-03-09,705.24
798,2016-03-10,712.82
799,2016-03-11,726.82
800,2016-03-12,
801,2016-03-13,
802,2016-03-14,730.49
803,2016-03-15,728.33
804,2016-03-16,736.09
805,2016-03-17,737.78
806,2016-03-18,737.6
807,2016-03-19,
808,2016-03-20,
809,2016-03-21,742.09
810,2016-03-22,740.75
811,2016-03-23,738.06
812,2016-03-24,735.3
813,2016-03-25,
814,2016-03-26,
815,2016-03-27,
816,2016-03-28,733.53
817,2016-03-29,744.77
818,2016-03-30,750.53
819,2016-03-31,744.95
820,2016-04-01,749.91
821,2016-04-02,
822,2016-04-03,
823,2016-04-04,745.29
824,2016-04-05,737.8
825,2016-04-06,745.69
826,2016-04-07,740.28
827,2016-04-08,739.15
828,2016-04-09,
829,2016-04-10,
830,2016-04-11,736.1
831,2016-04-12,743.09
832,2016-04-13,751.72
833,2016-04-14,753.2
834,2016-04-15,759.0
835,2016-04-16,
836,2016-04-17,
837,2016-04-18,766.61
838,2016-04-19,753.93
839,2016-04-20,752.67
840,2016-04-21,759.14
841,2016-04-22,718.77
842,2016-04-23,
843,2016-04-24,
844,2016-04-25,723.15
845,2016-04-26,708.14
846,2016-04-27,705.84
847,2016-04-28,691.02
848,2016-04-29,693.01
849,2016-04-30,
850,2016-05-01,
851,2016-05-02,698.21
852,2016-05-03,692.36
853,2016-05-04,695.7
854,2016-05-05,701.43
855,2016-05-06,711.12
856,2016-05-07,
857,2016-05-08,
858,2016-05-09,712.9
859,2016-05-10,723.18
860,2016-05-11,715.29
861,2016-05-12,713.31
862,2016-05-13,710.83
863,2016-05-14,
864,2016-05-15,
865,2016-05-16,716.49
866,2016-05-17,706.23
867,2016-05-18,706.63
868,2016-05-19,700.32
869,2016-05-20,709.74
870,2016-05-21,
871,2016-05-22,
872,2016-05-23,704.24
873,2016-05-24,720.09
874,2016-05-25,725.27
875,2016-05-26,724.12
876,2016-05-27,732.66
877,2016-05-28,
878,2016-05-29,
879,2016-05-30,
880,2016-05-31,735.72
881,2016-06-01,734.15
882,2016-06-02,730.4
883,2016-06-03,722.34
884,2016-06-04,
885,2016-06-05,
886,2016-06-06,716.55
887,2016-06-07,716.65
888,2016-06-08,728.28
889,2016-06-09,728.58
890,2016-06-10,719.41
891,2016-06-11,
892,2016-06-12,
893,2016-06-13,718.36
894,2016-06-14,718.27
895,2016-06-15,718.92
896,2016-06-16,710.36
897,2016-06-17,691.72
898,2016-06-18,
899,2016-06-19,
900,2016-06-20,693.71
901,2016-06-21,695.94
902,2016-06-22,697.46
903,2016-06-23,701.87
904,2016-06-24,675.22
905,2016-06-25,
906,2016-06-26,
907,2016-06-27,668.26
908,2016-06-28,680.04
909,2016-06-29,684.11
910,2016-06-30,692.1
911,2016-07-01,699.21
912,2016-07-02,
913,2016-07-03,
914,2016-07-04,
915,2016-07-05,694.49
916,2016-07-06,697.77
917,2016-07-07,695.36
918,2016-07-08,705.63
919,2016-07-09,
920,2016-07-10,
921,2016-07-11,715.09
922,2016-07-12,720.64
923,2016-07-13,716.98
924,2016-07-14,720.95
925,2016-07-15,719.85
926,2016-07-16,
927,2016-07-17,
928,2016-07-18,733.78
929,2016-07-19,736.96
930,2016-07-20,741.19
931,2016-07-21,738.63
932,2016-07-22,742.74
933,2016-07-23,
934,2016-07-24,
935,2016-07-25,739.77
936,2016-07-26,738.42
937,2016-07-27,741.77
938,2016-07-28,745.91
939,2016-07-29,768.79
940,2016-07-30,
941,2016-07-31,
942,2016-08-01,772.88
943,2016-08-02,771.07
944,2016-08-03,773.18
945,2016-08-04,771.61
946,2016-08-05,782.22
947,2016-08-06,
948,2016-08-07,
949,2016-08-08,781.76
950,2016-08-09,784.26
951,2016-08-10,784.68
952,2016-08-11,784.85
953,2016-08-12,783.22
954,2016-08-13,
955,2016-08-14,
956,2016-08-15,782.44
957,2016-08-16,777.14
958,2016-08-17,779.91
959,2016-08-18,777.5
960,2016-08-19,775.42
961,2016-08-20,
962,2016-08-21,
963,2016-08-22,772.15
964,2016-08-23,772.08
965,2016-08-24,769.64
966,2016-08-25,769.41
967,2016-08-26,769.54
968,2016-08-27,
969,2016-08-28,
970,2016-08-29,772.15
971,2016-08-30,769.09
972,2016-08-31,767.05
973,2016-09-01,768.78
974,2016-09-02,771.46
975,2016-09-03,
976,2016-09-04,
977,2016-09-05,
978,2016-09-06,780.08
979,2016-09-07,780.35
980,2016-09-08,775.32
981,2016-09-09,759.66
982,2016-09-10,
983,2016-09-11,
984,2016-09-12,769.02
985,2016-09-13,759.69
986,2016-09-14,762.49
987,2016-09-15,771.76
988,2016-09-16,768.88
989,2016-09-17,
990,2016-09-18,
991,2016-09-19,765.7
992,2016-09-20,771.41
993,2016-09-21,776.22
994,2016-09-22,787.21
995,2016-09-23,786.9
996,2016-09-24,
997,2016-09-25,
998,2016-09-26,774.21
999,2016-09-27,783.01
1000,2016-09-28,781.56
1001,2016-09-29,775.01
1002,2016-09-30,777.29
1003,2016-10-01,
1004,2016-10-02,
1005,2016-10-03,772.56
1006,2016-10-04,776.43
1007,2016-10-05,776.47
1008,2016-10-06,776.86
1009,2016-10-07,775.08
1010,2016-10-08,
1011,2016-10-09,
1012,2016-10-10,785.94
1013,2016-10-11,783.07
1014,2016-10-12,786.14
1015,2016-10-13,778.19
1016,2016-10-14,778.53
1017,2016-10-15,
1018,2016-10-16,
1019,2016-10-17,779.96
1020,2016-10-18,795.26
1021,2016-10-19,801.56
1022,2016-10-20,796.97
1023,2016-10-21,799.37
1024,2016-10-22,
1025,2016-10-23,
1026,2016-10-24,813.11
1027,2016-10-25,807.67
1028,2016-10-26,799.07
1029,2016-10-27,795.35
1030,2016-10-28,795.37
1031,2016-10-29,
1032,2016-10-30,
1033,2016-10-31,784.54
1034,2016-11-01,783.61
1035,2016-11-02,768.7
1036,2016-11-03,762.13
1037,2016-11-04,762.02
1038,2016-11-05,
1039,2016-11-06,
1040,2016-11-07,782.52
1041,2016-11-08,790.51
1042,2016-11-09,785.31
1043,2016-11-10,762.56
1044,2016-11-11,754.02
1045,2016-11-12,
1046,2016-11-13,
1047,2016-11-14,736.08
1048,2016-11-15,758.49
1049,2016-11-16,764.48
1050,2016-11-17,771.23
1051,2016-11-18,760.54
1052,2016-11-19,
1053,2016-11-20,
1054,2016-11-21,769.2
1055,2016-11-22,768.27
1056,2016-11-23,760.99
1057,2016-11-24,
1058,2016-11-25,761.68
1059,2016-11-26,
1060,2016-11-27,
1061,2016-11-28,768.24
1062,2016-11-29,770.84
1063,2016-11-30,758.04
1064,2016-12-01,747.92
1065,2016-12-02,750.5
1066,2016-12-03,
1067,2016-12-04,
1068,2016-12-05,762.52
1069,2016-12-06,759.11
1070,2016-12-07,771.19
1071,2016-12-08,776.42
1072,2016-12-09,789.29
1073,2016-12-10,
1074,2016-12-11,
1075,2016-12-12,789.27
1076,2016-12-13,796.1
1077,2016-12-14,797.07
1078,2016-12-15,797.85
1079,2016-12-16,790.8
1080,2016-12-17,
1081,2016-12-18,
1082,2016-12-19,794.2
1083,2016-12-20,796.42
1084,2016-12-21,794.56
1085,2016-12-22,791.26
1086,2016-12-23,789.91
1087,2016-12-24,
1088,2016-12-25,
1089,2016-12-26,
1090,2016-12-27,791.55
1091,2016-12-28,785.05
1092,2016-12-29,782.79
1093,2016-12-30,771.82
